stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
156.300000000,1,0,-0.044523415,-0.108118801,1.709162330,-0.018466829,-0.014061946,1.775723177,-0.026056586,-0.094056855,-0.066560847,0.118135448,-0.200000000
156.300000000,1,2,1.984405926,1.816681963,1.631769354,1.994384432,1.994774207,1.712043597,-0.009978506,-0.178092244,-0.080274243,0.195602587,-0.200000000
156.300000000,1,3,-0.015004822,1.837260924,1.691645017,0.000375136,1.981267693,1.794778369,-0.015379957,-0.144006769,-0.103133351,0.177794771,-0.100000000
156.400000000,1,0,-0.025644498,-0.132729555,1.776122654,-0.016524740,-0.012615056,1.850553604,-0.009119758,-0.120114499,-0.074430950,0.141600244,-0.200000000
156.400000000,1,2,2.024462787,1.808073557,1.686736433,1.994901923,1.996878377,1.787399640,0.029560865,-0.188804820,-0.100663206,0.215995801,-0.200000000
156.400000000,1,3,-0.048746325,1.874318486,1.747841758,0.002447812,1.984490639,1.869270090,-0.051194137,-0.110172152,-0.121428332,0.171766070,-0.100000000
156.500000000,1,0,-0.039448238,-0.154301032,1.850715357,-0.015135052,-0.011531226,1.901019500,-0.024313185,-0.142769806,-0.050304142,0.153312932,-0.200000000
156.500000000,1,2,1.995544712,1.770852547,1.773689022,1.995293237,1.998410821,1.838263003,0.000251475,-0.227558274,-0.064573981,0.236543084,-0.200000000
156.500000000,1,3,0.007415922,1.857896998,1.825222961,0.003929254,1.986648556,1.919311467,0.003486668,-0.128751557,-0.094088507,0.159504757,-0.100000000
156.600000000,1,0,-0.076721316,-0.148524918,1.914647881,-0.012789025,-0.009580058,1.982768520,-0.063932291,-0.138944860,-0.068120639,0.167431877,-0.200000000
156.600000000,1,2,2.000125016,1.810667923,1.840368879,1.996012374,2.001090295,1.920621892,0.004112642,-0.190422372,-0.080253013,0.206683670,-0.200000000
156.600000000,1,3,-0.024430498,1.813749557,1.900795175,0.006470434,1.990166749,2.000026205,-0.030900932,-0.176417193,-0.099231030,0.204755197,-0.100000000
156.700000000,1,0,-0.024758111,-0.187680111,1.972714173,-0.011273546,-0.008225154,2.034222528,-0.013484565,-0.179454957,-0.061508354,0.190181999,-0.200000000
156.700000000,1,2,1.952627265,1.829779214,1.910077858,1.996511531,2.002905320,1.972272299,-0.043884266,-0.173126106,-0.062194441,0.189120665,-0.200000000
156.700000000,1,3,0.033339221,1.831517621,1.959191497,0.008157803,1.992399517,2.050504683,0.025181418,-0.160881896,-0.091313186,0.186695437,-0.100000000
156.800000000,1,0,-0.084937756,-0.175823362,2.033204930,-0.009116772,-0.006148565,2.106965248,-0.075820984,-0.169674797,-0.073760318,0.199947350,-0.200000000
156.800000000,1,2,1.961224625,1.858056401,1.987605809,1.997245656,2.005637089,2.044949450,-0.036021030,-0.147580688,-0.057343642,0.162375698,-0.200000000
156.800000000,1,3,-0.064407978,1.845156810,2.037069207,0.010651354,1.995577165,2.121529128,-0.075059332,-0.150420354,-0.084459921,0.188132041,-0.100000000
156.900000000,1,0,-0.049626175,-0.160029829,2.093975171,-0.007094369,-0.004025625,2.177095861,-0.042531807,-0.156004204,-0.083120690,0.181811208,-0.200000000
