stamp,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_3,com_age_3,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
26.438814815,0,-0.041481482,0.041481482,0.038518518,0.038518518,0.002962963,0.002962963,-0.008814815,0.008814815,-0.036814815,0.036814815,0.005185185,0.005185185,-0.004814815,0.004814815,2,0.050000000,1,0,0,0,0,0,0,-0.007800564,0.041897892,3.017651480
26.824222222,0,-0.059555555,0.059555555,-0.000222222,0.000222222,0.059777778,0.059777778,0.005777778,0.005777778,-0.222222222,0.222222222,-0.000222222,0.000222222,-0.010222222,0.010222222,2,0.050000000,1,0,0,0,0,0,0,0.073066290,0.007760977,3.031857297
26.777703704,0,-0.013037037,0.013037037,-0.000148148,0.000148148,0.013185185,0.013185185,-0.027703704,0.027703704,0.024296296,0.024296296,0.006296296,0.006296296,-0.005703704,0.005703704,2,0.050000000,1,0,0,0,0,0,0,0.021101074,0.045776645,3.029516709
26.821259259,0,-0.023703703,0.023703703,0.022962963,0.022962963,0.000740741,0.000740741,0.008740741,0.008740741,-0.019259259,0.019259259,0.002740741,0.002740741,-0.007259259,0.007259259,2,0.050000000,1,0,0,0,0,0,0,0.101307462,0.046353877,3.031857297
27.074913580,0,-0.158172839,0.158172839,0.051086420,0.051086420,0.107086420,0.107086420,-0.004913580,0.004913580,-0.072913580,0.072913580,0.009086420,0.009086420,-0.000913580,0.000913580,2,0.050000000,1,0,0,0,0,0,0,0.006353077,-0.002594741,3.052103132
27.144082305,0,0.019917695,0.019917695,0.081917695,0.081917695,-0.101835391,0.101835391,-0.034082305,0.034082305,-0.042082305,0.042082305,-0.000082305,0.000082305,0.001917695,0.001917695,2,0.050000000,1,0,0,0,0,0,0,-0.034021866,-0.003210381,3.049463912
27.160795610,0,-0.046408779,0.046408779,0.015871057,0.015871057,0.030537723,0.030537723,0.029204390,0.029204390,0.041204390,0.041204390,0.005204390,0.005204390,-0.012795610,0.012795610,2,0.050000000,1,0,0,0,0,0,0,0.025933543,-0.030657159,3.050551413
27.359564701,0,-0.188870599,0.188870599,0.066435299,0.066435299,0.122435299,0.122435299,-0.009564701,0.009564701,0.042435299,0.042435299,0.004435299,0.004435299,0.016435299,0.016435299,2,0.050000000,1,0,0,0,0,0,0,-0.064270003,0.011788954,3.059539983
27.524000000,0,-0.060000000,0.060000000,0.002000000,0.002000000,0.058000000,0.058000000,-0.014000000,0.014000000,-0.022000000,0.022000000,0.002000000,0.002000000,0.006000000,0.006000000,2,0.050000000,1,0,0,0,0,0,0,0.047183882,0.026129687,3.060243768
27.477333333,0,-0.013333333,0.013333333,-0.000666666,0.000666666,0.014000000,0.014000000,-0.007333333,0.007333333,0.024666667,0.024666667,0.006666667,0.006666667,0.012666667,0.012666667,2,0.050000000,1,0,0,0,0,0,0,-0.002420987,0.041633075,3.058589533
27.487491067,0,0.009842266,0.009842266,-0.018969500,0.018969500,0.009127233,0.009127233,-0.017491067,0.017491067,0.014508933,0.014508933,-0.003491067,0.003491067,0.002508933,0.002508933,2,0.050000000,1,0,0,0,0,0,0,0.024094653,0.026460240,3.058589533
27.848000000,0,-0.012000000,0.012000000,-0.024000000,0.024000000,0.036000000,0.036000000,-0.018000000,0.018000000,-0.146000000,0.146000000,-0.002000000,0.002000000,0.000000000,0.000000000,2,0.050000000,1,0,0,0,0,0,0,0.056915858,0.015068217,3.042256007
27.868444445,0,-0.003777778,0.003777778,0.057555555,0.057555555,-0.053777778,0.053777778,0.001555555,0.001555555,-0.066444445,0.066444445,-0.004444445,0.004444445,0.013555555,0.013555555,3,0.065000000,1,0,0,0,0,0,0,-0.005643877,-0.003426135,3.042793198
27.877777778,0,-0.014888889,0.014888889,0.000444444,0.000444444,0.014444444,0.014444444,-0.007777778,0.007777778,0.024222222,0.024222222,0.008222222,0.008222222,0.004222222,0.004222222,3,0.065000000,1,0,0,0,0,0,0,0.007938897,-0.035069650,3.043453298
28.062543210,0,-0.182913580,0.182913580,0.063456790,0.063456790,0.119456790,0.119456790,0.007456790,0.007456790,0.039456790,0.039456790,0.003456790,0.003456790,0.009456790,0.009456790,3,0.065000000,1,0,0,0,0,0,0,0.018510966,-0.002070624,3.037202125
28.224222222,0,-0.059555555,0.059555555,-0.000222222,0.000222222,0.059777778,0.059777778,0.005777778,0.005777778,-0.022222222,0.022222222,-0.000222222,0.000222222,-0.000222222,0.000222222,3,0.065000000,1,0,0,0,0,0,0,0.009031561,-0.018226955,3.051065714
28.186430727,0,0.003750343,0.003750343,-0.008875171,0.008875171,0.005124829,0.005124829,0.003569273,0.003569273,0.015569273,0.015569273,-0.000430727,0.000430727,-0.000430727,0.000430727,3,0.065000000,1,0,0,0,0,0,0,0.016821041,-0.045572873,3.051095771
28.286895290,0,-0.089117512,0.089117512,-0.107987197,0.107987197,0.197104710,0.197104710,-0.016895290,0.016895290,0.017104710,0.017104710,-0.002895290,0.002895290,0.009104710,0.009104710,3,0.065000000,1,0,0,0,0,0,0,0.024458446,-0.048663204,3.044354649
28.548666667,0,-0.010666667,0.010666667,-0.022666667,0.022666667,0.033333333,0.033333333,0.001333333,0.001333333,-0.244666667,0.244666667,-0.004666667,0.004666667,0.011333333,0.011333333,3,0.065000000,1,0,0,0,0,0,0,0.120331816,-0.048146443,3.052376660
