seq,timestamp,self_id,target_id,filtered_distance,gt_distance
1208,60.232000,1,0,1.993284,2.026346
1208,60.232000,1,2,2.030129,2.022971
1208,60.232000,1,3,2.912285,2.903638
1209,60.270000,1,0,1.974318,2.028436
1209,60.270000,1,2,2.056577,2.023811
1209,60.270000,1,3,2.907120,2.906336
1210,60.310000,1,0,1.988658,2.030137
1210,60.310000,1,2,2.067439,2.024351
1210,60.310000,1,3,2.957001,2.908460
1211,60.350000,1,2,2.067538,2.024696
1211,60.350000,1,3,2.924276,2.910310
1212,60.390000,1,0,2.007302,2.033125
1212,60.390000,1,2,2.052017,2.024859
1212,60.390000,1,3,2.905181,2.911981
1213,60.430000,1,0,2.034867,2.034470
1213,60.430000,1,2,2.033333,2.024820
1213,60.430000,1,3,2.893008,2.913445
1214,60.470000,1,0,2.035427,2.035581
1214,60.470000,1,2,2.013323,2.024595
1214,60.470000,1,3,2.900908,2.914572
1215,60.510000,1,0,2.074801,2.036673
1215,60.510000,1,2,1.970439,2.024119
1215,60.510000,1,3,2.868632,2.915576
1216,60.550000,1,0,2.050711,2.037492
1216,60.550000,1,2,1.982222,2.023497
1216,60.550000,1,3,2.909316,2.916222
1217,60.590000,1,0,2.049827,2.038123
1217,60.590000,1,2,1.963727,2.022747
1217,60.590000,1,3,2.926933,2.916610
1218,60.630000,1,0,2.024475,2.038658
1218,60.630000,1,2,1.977879,2.021746
1218,60.630000,1,3,2.955699,2.916789
1219,60.670000,1,0,2.018042,2.039016
1219,60.670000,1,2,1.998244,2.020631
1219,60.670000,1,3,2.966687,2.916723
1220,60.710000,1,0,2.003536,2.039231
1220,60.710000,1,2,2.045419,2.019371
1220,60.710000,1,3,2.986906,2.916433
1221,60.750000,1,0,2.041877,2.039311
1221,60.750000,1,2,2.055461,2.018052
1221,60.750000,1,3,2.964602,2.915962
1222,60.790000,1,0,2.063499,2.039274
1222,60.790000,1,2,2.060825,2.016629
1222,60.790000,1,3,2.956181,2.915311
1223,60.830000,1,0,2.071796,2.039111
1223,60.830000,1,2,2.054699,2.014953
1223,60.830000,1,3,2.952260,2.914400
1224,60.870000,1,0,2.073126,2.038875
1224,60.870000,1,2,2.022748,2.013441
1224,60.870000,1,3,2.929060,2.913474
1225,60.910000,1,0,2.054958,2.038538
1225,60.910000,1,2,2.024599,2.011782
1225,60.910000,1,3,2.906747,2.912365
1226,60.950000,1,0,2.030905,2.038119
1226,60.950000,1,2,2.021320,2.010066
1226,60.950000,1,3,2.901934,2.911134
1227,60.990000,1,0,2.019381,2.037622
1227,60.990000,1,2,1.985126,2.008302
1227,60.990000,1,3,2.906319,2.909792
1228,61.030000,1,0,2.014536,2.037118
1228,61.030000,1,2,1.964473,2.006686
1228,61.030000,1,3,2.886222,2.908504
1229,61.070000,1,0,1.991182,2.036525
1229,61.070000,1,2,1.982769,2.004941
1229,61.070000,1,3,2.909217,2.907058
1230,61.110000,1,0,2.003438,2.035132
1230,61.110000,1,2,1.953338,2.001255
1230,61.110000,1,3,2.938026,2.903846
1231,61.150000,1,0,2.017189,2.034333
1231,61.150000,1,2,1.950284,1.999322
1231,61.150000,1,3,2.922911,2.902087
1232,61.190000,1,0,2.014622,2.033388
1232,61.190000,1,2,2.017825,1.997167
1232,61.190000,1,3,2.882310,2.900071
1233,61.230000,1,0,2.016956,2.032484
1233,61.230000,1,2,2.021885,1.995210
1233,61.230000,1,3,2.871894,2.898192
1234,61.270000,1,0,2.032417,2.031535
1234,61.270000,1,2,2.007295,1.993250
1234,61.270000,1,3,2.853973,2.896269
1235,61.310000,1,0,2.023537,2.030651
1235,61.310000,1,2,2.014974,1.991498
1235,61.310000,1,3,2.848983,2.894515
1236,61.350000,1,0,1.998736,2.029626
1236,61.350000,1,2,2.029330,1.989540
1236,61.350000,1,3,2.849267,2.892519
1237,61.390000,1,0,1.998647,2.028567
1237,61.390000,1,2,2.018935,1.987579
1237,61.390000,1,3,2.865570,2.890488
