stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
24.252000,3,0,3,-0.370128,2.375939,3.011414,-0.384679,0.377739,0.000000,0.539134,1.000000,1.472452,0,2.695258,-1.414208,3.414214,3.000000
24.352000,3,0,0,-0.415064,-0.429121,3.003732,-0.637007,-0.646767,0.000000,0.907792,1.000000,1.403102,0,2.823607,-1.414208,-1.414213,3.000000
24.352000,3,0,1,2.430959,-0.407573,3.000855,0.642949,-0.636405,0.000000,0.904652,1.000000,1.407169,0,2.823607,3.414220,-1.414214,3.000000
24.352000,3,0,2,2.421838,2.416019,2.993233,0.632826,0.647058,0.000000,0.905071,1.000000,1.407556,0,2.823607,3.414220,3.414213,3.000000
24.352000,3,0,3,-0.434922,2.439506,3.009318,-0.647942,0.635677,0.000000,0.907697,0.986918,1.381685,0,2.823607,-1.414208,3.414214,3.000000
24.452000,3,0,0,-0.478133,-0.493050,3.003325,-0.630691,-0.639295,0.000000,0.898036,0.938077,1.313308,0,2.950722,-1.414208,-1.414213,3.000000
24.452000,3,0,1,2.494436,-0.470599,3.001390,0.634765,-0.630255,0.000000,0.894510,0.941235,1.317729,0,2.950722,3.414220,-1.414214,3.000000
24.452000,3,0,2,2.484426,2.480106,2.993877,0.625884,0.640871,0.000000,0.895793,0.941415,1.317981,0,2.950722,3.414220,3.414213,3.000000
24.452000,3,0,3,-0.499074,2.502408,3.007286,-0.641516,0.629020,0.000000,0.898448,0.922745,1.291843,0,2.950722,-1.414208,3.414214,3.000000
24.552000,3,0,0,-0.523696,-0.539176,3.002928,-0.455628,-0.461257,0.000000,0.648348,0.891771,1.248480,0,3.042590,-1.414208,-1.414213,3.000000
24.552000,3,0,1,2.540180,-0.516156,3.001750,0.457439,-0.455571,0.000000,0.645596,0.895127,1.253177,0,3.042590,3.414220,-1.414214,3.000000
24.552000,3,0,2,2.529611,2.526416,2.994324,0.451850,0.463099,0.000000,0.647016,0.895202,1.253283,0,3.042590,3.414220,3.414213,3.000000
24.552000,3,0,3,-0.545371,2.547823,3.005951,-0.462973,0.454144,0.000000,0.648529,0.876423,1.226992,0,3.042590,-1.414208,3.414214,3.000000
24.652000,3,0,0,-0.588432,-0.604578,3.002318,-0.647365,-0.654018,0.000000,0.920228,0.826048,1.156467,0,3.173073,-1.414208,-1.414213,3.000000
24.652000,3,0,1,2.604996,-0.580887,3.002125,0.648160,-0.647313,0.000000,0.916038,0.829702,1.161583,0,3.173073,3.414220,-1.414214,3.000000
24.652000,3,0,2,2.593798,2.592166,2.994922,0.641872,0.657497,0.000000,0.918859,0.829573,1.161402,0,3.173073,3.414220,3.414213,3.000000
24.652000,3,0,3,-0.610958,2.612202,3.004235,-0.655870,0.643798,0.000000,0.919044,0.810779,1.135091,0,3.173073,-1.414208,3.414214,3.000000
24.752000,3,0,0,-0.656642,-0.673235,3.001703,-0.682099,-0.686575,0.000000,0.967804,0.756925,1.059695,0,3.310430,-1.414208,-1.414213,3.000000
24.752000,3,0,1,2.673086,-0.649080,3.002435,0.680901,-0.681924,0.000000,0.963663,0.760877,1.065227,0,3.310430,3.414220,-1.414214,3.000000
24.752000,3,0,2,2.661452,2.661330,2.995548,0.676540,0.691645,0.000000,0.967512,0.760469,1.064656,0,3.310430,3.414220,3.414213,3.000000
24.752000,3,0,3,-0.679757,2.679779,3.002670,-0.687986,0.675769,0.000000,0.964360,0.741899,1.038658,0,3.310430,-1.414208,3.414214,3.000000
24.852000,3,0,0,-0.702954,-0.719690,3.001305,-0.463117,-0.464545,0.000000,0.655957,0.710075,0.994105,0,3.403635,-1.414208,-1.414213,3.000000
24.852000,3,0,1,2.719218,-0.695394,3.002645,0.461317,-0.463141,0.000000,0.653692,0.714189,0.999865,0,3.403635,3.414220,-1.414214,3.000000
24.852000,3,0,2,2.707404,2.708221,2.995972,0.459519,0.468907,0.000000,0.656530,0.713576,0.999007,0,3.403635,3.414220,3.414213,3.000000
24.852000,3,0,3,-0.726289,2.725524,3.001709,-0.465323,0.457447,0.000000,0.652521,0.695292,0.973409,0,3.403635,-1.414208,3.414214,3.000000
24.952000,3,0,0,-0.770457,-0.787175,3.000815,-0.675032,-0.674851,0.000000,0.954511,0.641901,0.898661,0,3.539440,-1.414208,-1.414213,3.000000
24.952000,3,0,1,2.786323,-0.762954,3.003001,0.671054,-0.675607,0.000000,0.952238,0.646179,0.904651,0,3.539440,3.414220,-1.414214,3.000000
24.952000,3,0,2,2.774421,2.776466,2.996581,0.670170,0.682450,0.000000,0.956486,0.645259,0.903363,0,3.539440,3.414220,3.414213,3.000000
24.952000,3,0,3,-0.793858,2.792042,3.000493,-0.675689,0.665177,0.000000,0.948164,0.627569,0.878596,0,3.539440,-1.414208,3.414214,3.000000
