stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
15.372222222,post,3,2,0.003777778,-0.098222222,0.001111111,2.003788686,0.019867203,0.051979359,1.981648620,-0.000355653,-0.032029237,1.974517465,1.981907478,-0.007390013,0.009719473,-0.000179473,0.009898947,0.021829357,-0.016161517,0.037990875,-0.007694828,0.019542049,0.021844920,1.136762044,0.155646655,0.036323697,1,1,1
15.373925926,pre,3,0,0.002074074,-0.099925926,-0.001037037,-0.007443785,-1.976367059,-0.033869628,-0.062726453,-2.007524703,0.014341896,1.983831763,2.008555633,-0.024723870,nan,nan,nan,nan,nan,nan,nan,nan,0.244507901,nan,nan,0.000000000,0,0,0
15.373925926,pre,3,1,0.002074074,-0.099925926,0.001407407,2.016539248,-1.971621785,0.030579448,1.927165746,-2.035063835,-0.063187181,2.808121681,2.803470215,0.004651466,nan,nan,nan,nan,nan,nan,nan,nan,0.008654455,nan,nan,0.000000000,0,0,0
15.373925926,pre,3,2,0.002074074,-0.099925926,-0.000370371,2.003788686,0.019867203,0.051979359,2.008956030,-0.070471229,-0.031032736,1.974517465,2.010431187,-0.035913722,0.009719473,-0.035064155,0.044783628,0.021829357,-0.015436474,0.037265831,-0.035002238,0.089657624,0.515918172,3.667696127,3.267764542,0.000000000,1,1,1
15.373925926,post,3,0,0.002074074,-0.099925926,-0.001037037,-0.007443785,-1.976367059,-0.033869628,-0.079026226,-1.956274084,0.014341896,1.983831763,1.957922145,0.025909618,nan,nan,nan,nan,nan,nan,nan,nan,0.268523327,nan,nan,0.046276937,0,0,0
15.373925926,post,3,1,0.002074074,-0.099925926,0.001407407,2.016539248,-1.971621785,0.030579448,1.910865973,-1.983813216,-0.063187181,2.808121681,2.755161749,0.052959933,nan,nan,nan,nan,nan,nan,nan,nan,1.121901785,nan,nan,0.046276937,0,0,0
15.373925926,post,3,2,0.002074074,-0.099925926,-0.000370371,2.003788686,0.019867203,0.051979359,1.992656257,-0.019220609,-0.031032736,1.974517465,1.992990572,-0.018473108,0.009719473,-0.009645423,0.019364897,0.021829357,-0.015571569,0.037400926,-0.018702465,0.038407005,0.136502281,1.478844002,0.649603069,0.046276937,1,1,1
15.677333333,pre,3,0,-0.021333333,-0.205333333,-0.007333333,-0.007814041,-1.974528897,-0.032479616,-0.116393442,-1.914073366,-0.127189674,1.917105913,1.921822442,-0.004716528,nan,nan,nan,nan,nan,nan,nan,nan,0.008898256,nan,nan,0.000000000,0,0,0
15.677333333,pre,3,1,-0.021333333,-0.205333333,0.012666667,2.013383424,-1.968030865,0.019846517,1.860466399,-1.936874966,-0.105619656,2.819215298,2.687745406,0.131469892,nan,nan,nan,nan,nan,nan,nan,nan,6.913732995,nan,nan,0.000000000,0,0,0
15.677333333,pre,3,2,-0.021333333,-0.205333333,-0.005333333,2.000086387,0.020761954,0.042309919,1.916141472,0.052813985,-0.057985278,1.959336281,1.917746008,0.041590273,0.015982956,0.027555698,-0.011572743,0.018214999,-0.030240771,0.048455769,0.042619563,-0.021504528,0.691900318,1.814963772,0.888535046,0.000000000,1,1,1
15.677333333,post,3,0,-0.021333333,-0.205333333,-0.007333333,-0.007814041,-1.974528897,-0.032479616,-0.051517131,-1.943635379,-0.127189674,1.917105913,1.948473689,-0.031367776,nan,nan,nan,nan,nan,nan,nan,nan,0.393574938,nan,nan,0.081325575,0,0,0
15.677333333,post,3,1,-0.021333333,-0.205333333,0.012666667,2.013383424,-1.968030865,0.019846517,1.925342710,-1.966436979,-0.105619656,2.819215298,2.754083234,0.065132064,nan,nan,nan,nan,nan,nan,nan,nan,1.696874312,nan,nan,0.081325575,0,0,0
15.677333333,post,3,2,-0.021333333,-0.205333333,-0.005333333,2.000086387,0.020761954,0.042309919,1.981017784,0.023251971,-0.057985278,1.959336281,1.982002625,-0.022666344,0.015982956,0.011736847,0.004246108,0.018214999,-0.029260079,0.047475078,-0.022256748,0.008057486,0.205505267,1.593388422,0.220841590,0.081325575,1,1,1
15.672888889,pre,3,0,-0.016888889,-0.100888889,0.002444444,-0.007785460,-1.974714744,-0.032622158,-0.104970773,-1.980181982,0.013478510,1.917105913,1.983008122,-0.065902209,nan,nan,nan,nan,nan,nan,nan,nan,1.737240473,nan,nan,0.000000000,0,0,0
15.672888889,pre,3,1,-0.016888889,-0.100888889,-0.004222222,2.013736427,-1.968342554,0.021110758,1.920852617,-1.973487380,-0.069929208,2.819215298,2.754853410,0.064361888,nan,nan,nan,nan,nan,nan,nan,nan,1.656981026,nan,nan,0.000000000,0,0,0
15.672888889,pre,3,2,-0.016888889,-0.100888889,0.001777778,2.000446204,0.020770687,0.043306048,1.952807889,0.030284249,-0.037492126,1.959336281,1.953402531,0.005933750,0.004455183,0.015506810,-0.011051627,0.016148936,-0.019194420,0.035343356,0.006253469,-0.021556215,0.014083755,1.034117685,0.178682711,0.000000000,1,1,1
15.672888889,post,3,0,-0.016888889,-0.100888889,0.002444444,-0.007785460,-1.974714744,-0.032622158,-0.081309995,-1.982309704,0.013478510,1.917105913,1.984022366,-0.066916453,nan,nan,nan,nan,nan,nan,nan,nan,1.791124681,nan,nan,0.009029754,0,0,0
15.672888889,post,3,1,-0.016888889,-0.100888889,-0.004222222,2.013736427,-1.968342554,0.021110758,1.944513395,-1.975615103,-0.069929208,2.819215298,2.772918584,0.046296713,nan,nan,nan,nan,nan,nan,nan,nan,0.857354271,nan,nan,0.009029754,0,0,0
15.672888889,post,3,2,-0.016888889,-0.100888889,0.001777778,2.000446204,0.020770687,0.043306048,1.976468667,0.028156526,-0.037492126,1.959336281,1.977024745,-0.017688464,0.004455183,0.014244911,-0.009789729,0.016148936,-0.018965050,0.035113986,-0.017407309,-0.019428492,0.125152706,0.987449414,0.253614148,0.009029754,1,1,1
15.674370371,pre,3,0,-0.018370371,-0.102370371,-0.000814815,-0.007785460,-1.974714744,-0.032622158,-0.090049111,-1.986482979,0.001631049,1.917105913,1.988523605,-0.071417692,nan,nan,nan,nan,nan,nan,nan,nan,2.040194668,nan,nan,0.000000000,0,0,0
15.674370371,pre,3,1,-0.018370371,-0.102370371,0.001407407,2.013736427,-1.968342554,0.021110758,1.917158559,-1.993252188,-0.087729041,2.819215298,2.766992521,0.052222777,nan,nan,nan,nan,nan,nan,nan,nan,1.090887374,nan,nan,0.000000000,0,0,0
15.674370371,pre,3,2,-0.018370371,-0.102370371,-0.000592593,2.000446204,0.020770687,0.043306048,1.977442200,-0.002817965,-0.050062899,1.959336281,1.978077827,-0.018741546,0.004455183,-0.001425054,0.005880237,0.016148936,-0.025311565,0.041460501,-0.018380842,0.011545999,0.140498218,1.243279491,0.181875641,0.000000000,1,1,1
15.674370371,post,3,0,-0.018370371,-0.102370371,-0.000814815,-0.007785460,-1.974714744,-0.032622158,-0.085672196,-1.969488645,0.001631049,1.917105913,1.971351797,-0.054245884,nan,nan,nan,nan,nan,nan,nan,nan,1.177046352,nan,nan,0.004927436,0,0,0
